Agent,Campaign,Campaign Type,Disposition,Date,Lead,Contact,RPC,Sale
AHeneke,Waiver,Life,Referral Funeral,2026-05-19,1,1,1,0
ANcube,Waiver,Life,No Answer,2026-05-13,1,0,0,0
ANgudlumana,Waiver,Life,Affordability,2026-05-04,12,12,12,0
ANgudlumana,Waiver,Life,Affordability,2026-05-05,16,16,16,0
ANgudlumana,Waiver,Life,Affordability,2026-05-06,6,6,6,0
ANgudlumana,Waiver,Life,Affordability,2026-05-07,14,14,14,0
ANgudlumana,Waiver,Life,Affordability,2026-05-08,3,3,3,0
ANgudlumana,Waiver,Life,Affordability,2026-05-09,7,7,7,0
ANgudlumana,Waiver,Life,Affordability,2026-05-11,7,7,7,0
ANgudlumana,Waiver,Life,Affordability,2026-05-12,17,17,17,0
ANgudlumana,Waiver,Life,Affordability,2026-05-13,20,20,20,0
ANgudlumana,Waiver,Life,Affordability,2026-05-14,8,8,8,0
ANgudlumana,Waiver,Life,Affordability,2026-05-15,11,11,11,0
ANgudlumana,Waiver,Life,Affordability,2026-05-18,10,10,10,0
ANgudlumana,Waiver,Life,Affordability,2026-05-19,10,10,10,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-04,6,6,6,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-05,5,5,5,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-06,5,5,5,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-07,1,1,1,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-08,1,1,1,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-09,2,2,2,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-11,4,4,4,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-12,2,2,2,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-13,2,2,2,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-14,4,4,4,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-15,1,1,1,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-18,3,3,3,0
ANgudlumana,Waiver,Life,Already contacted ,2026-05-19,3,3,3,0
ANgudlumana,Waiver,Life,Answering Machine,2026-05-05,1,0,0,0
ANgudlumana,Waiver,Life,Answering Machine,2026-05-06,29,0,0,0
ANgudlumana,Waiver,Life,Answering Machine,2026-05-11,3,0,0,0
ANgudlumana,Waiver,Life,Answering Machine,2026-05-12,1,0,0,0
ANgudlumana,Waiver,Life,Answering Machine,2026-05-13,1,0,0,0
ANgudlumana,Waiver,Life,Answering Machine,2026-05-15,10,0,0,0
ANgudlumana,Waiver,Life,Answering Machine,2026-05-18,6,0,0,0
ANgudlumana,Waiver,Life,Auto Alt-Dialling,2026-05-06,9,0,0,0
ANgudlumana,Waiver,Life,Auto Alt-Dialling,2026-05-07,1,0,0,0
ANgudlumana,Waiver,Life,Auto Alt-Dialling,2026-05-11,4,0,0,0
ANgudlumana,Waiver,Life,Auto Alt-Dialling,2026-05-15,9,0,0,0
ANgudlumana,Waiver,Life,Auto Alt-Dialling,2026-05-19,1,0,0,0
ANgudlumana,Waiver,Life,Busy ,2026-05-06,3,0,0,0
ANgudlumana,Waiver,Life,Busy ,2026-05-11,1,0,0,0
ANgudlumana,Waiver,Life,Busy ,2026-05-15,2,0,0,0
ANgudlumana,Waiver,Life,Callback New Lead,2026-05-11,1,1,1,0
ANgudlumana,Waiver,Life,Callback New Lead,2026-05-15,1,1,1,0
ANgudlumana,Waiver,Life,Callback New Lead,2026-05-18,4,4,4,0
ANgudlumana,Waiver,Life,Callback New Lead,2026-05-19,3,3,3,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-04,13,13,13,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-05,4,4,4,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-06,5,5,5,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-07,12,12,12,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-08,2,2,2,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-09,8,8,8,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-11,7,7,7,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-12,17,17,17,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-13,15,15,15,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-14,19,19,19,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-15,16,16,16,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-18,25,25,25,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-19,27,27,27,0
ANgudlumana,Waiver,Life,Client Hangup - Pitched ,2026-05-21,1,1,1,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-04,60,60,60,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-05,42,42,42,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-06,37,37,37,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-07,45,45,45,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-08,34,34,34,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-09,25,25,25,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-11,40,40,40,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-12,49,49,49,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-13,46,46,46,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-14,38,38,38,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-15,52,52,52,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-18,62,62,62,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-19,61,61,61,0
ANgudlumana,Waiver,Life,Client hangup - No pitch,2026-05-21,1,1,1,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-04,13,13,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-05,6,6,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-06,6,6,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-07,6,6,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-08,4,4,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-09,5,5,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-11,5,5,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-12,10,10,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-13,10,10,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-14,4,4,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-15,3,3,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-18,7,7,0,0
ANgudlumana,Waiver,Life,Client not Available ,2026-05-19,9,9,0,0
ANgudlumana,Waiver,Life,Confirmed Deceased,2026-05-05,3,3,0,0
ANgudlumana,Waiver,Life,Confirmed Deceased,2026-05-08,1,1,0,0
ANgudlumana,Waiver,Life,Confirmed Deceased,2026-05-12,1,1,0,0
ANgudlumana,Waiver,Life,Confirmed Deceased,2026-05-13,1,1,0,0
ANgudlumana,Waiver,Life,Customer Prefers Branch,2026-05-04,1,1,1,0
ANgudlumana,Waiver,Life,Customer Prefers Branch,2026-05-08,1,1,1,0
ANgudlumana,Waiver,Life,Customer Prefers Branch,2026-05-12,2,2,2,0
ANgudlumana,Waiver,Life,Customer Prefers Branch,2026-05-13,1,1,1,0
ANgudlumana,Waiver,Life,Customer Prefers Branch,2026-05-15,2,2,2,0
ANgudlumana,Waiver,Life,Customer Prefers Branch,2026-05-19,1,1,1,0
ANgudlumana,Waiver,Life,Disconnected,2026-05-06,1,0,0,0
ANgudlumana,Waiver,Life,Do Not Call,2026-05-05,1,1,1,0
ANgudlumana,Waiver,Life,Do Not Call,2026-05-08,1,1,1,0
ANgudlumana,Waiver,Life,Do Not Call,2026-05-12,1,1,1,0
ANgudlumana,Waiver,Life,Do Not Call,2026-05-18,1,1,1,0
ANgudlumana,Waiver,Life,Do not qualify,2026-05-04,1,1,1,0
ANgudlumana,Waiver,Life,Do not qualify,2026-05-06,3,3,3,0
ANgudlumana,Waiver,Life,Do not qualify,2026-05-07,2,2,2,0
ANgudlumana,Waiver,Life,Do not qualify,2026-05-08,2,2,2,0
ANgudlumana,Waiver,Life,Do not qualify,2026-05-11,1,1,1,0
ANgudlumana,Waiver,Life,Do not qualify,2026-05-15,1,1,1,0
ANgudlumana,Waiver,Life,Do not qualify,2026-05-18,3,3,3,0
ANgudlumana,Waiver,Life,Inbound Call,2026-05-11,2,0,0,0
ANgudlumana,Waiver,Life,Inbound Call,2026-05-12,4,0,0,0
ANgudlumana,Waiver,Life,Inbound Call,2026-05-15,2,0,0,0
ANgudlumana,Waiver,Life,Inbound Call,2026-05-18,1,0,0,0
ANgudlumana,Waiver,Life,Inbound Call,2026-05-19,1,0,0,0
ANgudlumana,Waiver,Life,Language Barrier,2026-05-04,1,1,1,0
ANgudlumana,Waiver,Life,Language Barrier,2026-05-12,1,1,1,0
ANgudlumana,Waiver,Life,Language Barrier,2026-05-13,2,2,2,0
ANgudlumana,Waiver,Life,Language Barrier,2026-05-15,1,1,1,0
ANgudlumana,Waiver,Life,Language Barrier,2026-05-18,2,2,2,0
ANgudlumana,Waiver,Life,Language Barrier,2026-05-19,1,1,1,0
ANgudlumana,Waiver,Life,No Answer,2026-05-05,2,0,0,0
ANgudlumana,Waiver,Life,No Answer,2026-05-06,5,0,0,0
ANgudlumana,Waiver,Life,No Answer,2026-05-14,1,0,0,0
ANgudlumana,Waiver,Life,No Answer,2026-05-15,4,0,0,0
ANgudlumana,Waiver,Life,No Answer,2026-05-18,1,0,0,0
ANgudlumana,Waiver,Life,No Answer,2026-05-19,1,0,0,0
ANgudlumana,Waiver,Life,Non Party Contact,2026-05-05,1,1,0,0
ANgudlumana,Waiver,Life,Non Party Contact,2026-05-07,2,2,0,0
ANgudlumana,Waiver,Life,Non Party Contact,2026-05-13,1,1,0,0
ANgudlumana,Waiver,Life,Not Interested,2026-05-04,10,10,10,0
ANgudlumana,Waiver,Life,Not Interested,2026-05-05,3,3,3,0
ANgudlumana,Waiver,Life,Not Interested,2026-05-06,3,3,3,0
ANgudlumana,Waiver,Life,Not Interested,2026-05-07,4,4,4,0
ANgudlumana,Waiver,Life,Not Interested,2026-05-08,5,5,5,0
ANgudlumana,Waiver,Life,Not Interested,2026-05-09,2,2,2,0
ANgudlumana,Waiver,Life,Not Interested,2026-05-11,7,7,7,0
ANgudlumana,Waiver,Life,Not Interested,2026-05-12,6,6,6,0
